"filename", "language", "Dart", "JSON", "XML", "HTML", "Properties", "YAML", "C++", "Markdown", "Groovy", "Swift", "comment", "blank", "total"
"d:\Projects\Flutter Projects\Mobile_App_MF\mfapp_mobile\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 7, 17
"d:\Projects\Flutter Projects\Mobile_App_MF\mfapp_mobile\android\app\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 46, 0, 3, 11, 60
"d:\Projects\Flutter Projects\Mobile_App_MF\mfapp_mobile\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 3, 1, 8
"d:\Projects\Flutter Projects\Mobile_App_MF\mfapp_mobile\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 11, 1, 43
"d:\Projects\Flutter Projects\Mobile_App_MF\mfapp_mobile\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 7, 2, 13
"d:\Projects\Flutter Projects\Mobile_App_MF\mfapp_mobile\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 7, 2, 13
"d:\Projects\Flutter Projects\Mobile_App_MF\mfapp_mobile\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 9, 1, 19
"d:\Projects\Flutter Projects\Mobile_App_MF\mfapp_mobile\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 9, 1, 19
"d:\Projects\Flutter Projects\Mobile_App_MF\mfapp_mobile\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 3, 1, 8
"d:\Projects\Flutter Projects\Mobile_App_MF\mfapp_mobile\android\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 5, 32
"d:\Projects\Flutter Projects\Mobile_App_MF\mfapp_mobile\android\gradle.properties", "Properties", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"d:\Projects\Flutter Projects\Mobile_App_MF\mfapp_mobile\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 1, 1, 7
"d:\Projects\Flutter Projects\Mobile_App_MF\mfapp_mobile\android\settings.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 4, 12
"d:\Projects\Flutter Projects\Mobile_App_MF\mfapp_mobile\ios\Flutter\AppFrameworkInfo.plist", "XML", 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 1, 27
"d:\Projects\Flutter Projects\Mobile_App_MF\mfapp_mobile\ios\Runner.xcodeproj\project.xcworkspace\xcshareddata\IDEWorkspaceChecks.plist", "XML", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"d:\Projects\Flutter Projects\Mobile_App_MF\mfapp_mobile\ios\Runner.xcworkspace\xcshareddata\IDEWorkspaceChecks.plist", "XML", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"d:\Projects\Flutter Projects\Mobile_App_MF\mfapp_mobile\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 2, 14
"d:\Projects\Flutter Projects\Mobile_App_MF\mfapp_mobile\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 123
"d:\Projects\Flutter Projects\Mobile_App_MF\mfapp_mobile\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"d:\Projects\Flutter Projects\Mobile_App_MF\mfapp_mobile\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 2, 5
"d:\Projects\Flutter Projects\Mobile_App_MF\mfapp_mobile\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 1, 1, 38
